Act	阳起石	Actinolite
Ads	中长石	Adesine
Adl	冰长石	Aduloria
Aeg	霓石	Aegirine
Agt	霓辉石	Aegirine-augite
Ak	镁黄长石	Akermanite
Ab	钠长石	Albite
Afs	碱性长石	Alkalifeldspar
Aln	褐帘石	Allanite
Alm	铁铝榴石	Almandine
Als	铝硅酸盐	Alumosilicate
Am	闪石	Amphibole
Anl	方沸石	Analcime
Ant	锐钛矿	Anatase
And	红柱石	Andalusite
Adr	钙铁闪石	Andradite
Anh	硬石膏	Anhydrite
Ank	铁白云母	Ankerite
Ann	铁云母	Annite
An	钙长石	Anorthite
Atc	歪长石	Anorthoclase
Ath	直闪石	Anthophyllite
Atg	叶蛇纹石	Antigorite
Atp	反条纹长石	Antiperthite
Ap	磷灰石	Apatite
Apo	鱼眼石	Apophyllite
Arg	文石	Aragonite
Arf	亚铁钠闪石	Arfvedsonite
Apy	毒砂	Arsenopyrite
Aug	辉石	Augite
Ax	斧石	Axinite
Bad	斜锆石	Baddelejite
Brt	重晶石	Barite
Brs	冻蓝闪石	Barroisite
Brl	绿柱石	Beryl
Bt	黑云母	Biotite
Bhm	软水铝矿	Boehmite
Bn	斑铜矿	Bornite
Brk	板钛矿	Brookite
Brc	水镁石	Brucite
Bst	锰硅灰石	Bustamite
Byt	倍长石	Bytoonite
Cal	方解石	Calcite
Ccn	钙霞石	Cancrinite
Cb	碳酸盐矿物	Carbonate mineral
Cph	斜锰柱石	Carpholite
Cst	锡石	Cassiterite
Cel	绿菱石	Celadonite
Cls	天青石	Celestine
Cbz	菱沸石	Chabazite
Chc	辉铜矿	Chalcocite
Clp	黄铜矿	Chalcopyrite
Chm	鲕绿泥石	Chamosite
Cht	空晶石	Chiastolite
Chl	绿泥石	Chlorite
Cld	硬绿泥石	Chloritoid
Chn	粒硅灰石	Chondrodite
Chr	铬铁矿	Chromite
Csl	硅孔雀石	Chrysocolla
Ctl	纤蛇纹石	Chrysotile
Cam	单斜角闪石（闪石）	Clinoamphibole
Clc	斜绿泥石	Clinochlore
Cen	斜顽火辉石	Clinoenstatite
Fe2-Chq	斜铁锂闪石	Clinoferroholmquistite
Cfs	斜铁辉石	Clinoferrosilite
Chq	斜锂闪石/斜锂蓝闪石	Clinoholmquistite
Chu	斜硅镁石	Clinohumite
Cpx	单斜辉石	Clinopyroxene
Czo	斜黝帘石	Clinozoisite
Coe	柯石英	Coesite
Crd	堇青石	Cordierite
Crn	刚玉	Corundum
Cv	铜蓝	Covellite
Crs	方石英	Cristobalite
Crs	青铝闪石	Crosstie
Cum	镁铁闪石	Cummingtonite
Dee	迪尔石	Deerite
Dia	金刚石	Diamond
Dsp	硬水铝石	Diaspore
Dg	蓝辉铜矿	Digenite
Di	透辉石	Diopside
Dol	白云石	Dolomite
Drv	镁电气石	Dravite
Eck	钙叶绿泥石	Eckermannite
Ed	浅闪石	Edenite
Elb	锂电气石	Elbaite
En	顽火辉石	Enstatite
Ep	绿帘石	Epidote
Eul	尤莱辉石	Eulite
Fa	铁橄榄石	Fayalite
Fsp	长石	Feldspar
Fe2-Act	镁阳起石	Ferro-Actinolite
Fe2-Ed	铁浅闪石	Ferro-Edenite
Fe2-Hbl	铁角闪石	Ferrohornblende
Fs	铁辉石	Ferrosilite
Fe2-Ts	铁钙闪石	Ferrotschermakite
Fl	萤石	Fluorite
Fo	镁橄榄石	Forsterite
Fuc	铬云母	Fuchite
Fet	中柱石	Fulite
Gad	硅铍钇矿	Gadolinite
Gn	方铅矿	Galena
Grt	石榴子石	Garnet
Ged	铝直闪石	Gedrite
Gh	铝黄长石	Gehlenite
Gbs	三水铝石	Gibbsite
Glt	海绿石	Glauconite
Gln	蓝闪石	Glaucophane
Gt	针铁矿	Goethite
Grp	石墨	Graphite
Gre	铁蛇纹石	Greenalite
Grs	钙铝榴石	Grossular
Gru	铁闪石	Grunerite
Gp	石膏	Gypsum
Hl	石盐	Halite
Hs	绿钙闪石	Hastingsite
Hyn	蓝方石	Haüyne
Hd	钙铁辉石	Hedenbergite
Hem	赤铁矿	Hematite
Hc	铁尖晶石	Hercynite
Hul	片沸石	Heulandite
Hgb	黑铝镁钛矿	Hoegbomite
Hq	铝闪石	Holmquistite
Hbl	普通角闪石	Hornblende
Hu	硅镁石	Humite
Hy	紫苏辉石	Hypersthene
Ill	伊利石	Illite
Ilm	钛铁矿	Ilmenite
Jd	硬玉	Jadeite
Ja	碧玉	Jasper
Joe	铅铍闪石	Joesmithite
Jh	钙镁辉石	Johannsenite
Krs	钛闪石	Kaersutite
Kls	钾霞石	Kalsilite
Kln	高岭石	Kaolinite
Kln-Srp	高岭石-蛇纹石	Kaolinite-Serpentine
Ktp	红钠闪石（红闪石）	Katophorite
Kfs	钾长石	K-feldspar
Kie	水镁矾	Kieserite
Krn	柱晶石	Kornerupine
Koz	铁锰钠闪石	Kozulite
Ky	蓝晶石	Kyanite
Lab	拉长石	Labradolite
Lmt	浊沸石	Laumontite
Lws	硬柱石	Lawsonite
Laz	天蓝石	Lazulite
Laz	青金石	Lazurite
Lpd	锂云母	Lepidolite
Lct	白榴石	Leucite
Lm	褐铁矿	Limonite
Lz	利蛇纹石	Lizardite
Lo	斜方砷铁矿	Loellingite
Mgh	磁赤铁矿	Maghemite
Mg-Hbl	镁角闪石	Magnesiohornblende
Mg-Ktp	镁红钠闪石	Magnesiokatophorite
Mg-Rbk	镁钠闪石	Magnesioriebeckite
Mg-Sdg	镁砂川闪石	Magnesiosadanagaite
Mgs	菱镁矿	Magnesite
Mag	磁铁矿	Magnetite
Mal	孔雀石	Malachile
Mrc	白铁矿	Marcasite
Mrg	珍珠云母	Margarite
Mar	钠柱石	Marialite
Mei	钙柱石	Meionite
Men	黑榴石	Melanite
Mel	黄长石	Melilite
Mw	黝硅镁钙石	Merwinite
Mi	云母	Mica
Mic	微斜长石	Microcline
Mns	铁滑石	Minnesotaite
Mo	辉钼矿	Molybdenite
Mnz	独居石	Monazite
Mtc	钙镁橄榄石	Monticellite
Mnt	蒙脱石	Montmorillonite
Mul	莫来石	Mullite
Ms	白云母	Muscovite
Ntr	钠沸石	Natrolite
Ne	霞石	Nepheline
Nrb	块硅镁石	Norbergite
Nsn	黝方石	Nosean
Nyb	灰闪石	Nyboeite
Olg	奥长石	Oligoclase
Ol	橄榄石	Olivine
Omp	绿辉石	Omphacite
Opl	蛋白石	Opal
Op	不透明矿物	Opaque mineral
Oam	斜方闪石	Orthoamphibole
Or	正长石	Orthoclase
Opx	正方辉石	Orthopyroxene
Osu	大隅石	Osumilite
Pg	钠云母	Paragonite
Prg	韭闪石	Pargasite
Pct	针钠钙石	Pectolite
Pen	叶绿泥石	Pennine
Pn	镍黄铁矿	Pentlandite
Per	方镁石	Periclase
Prv	钙钛矿	Perovskite
Pth	条纹长石	Perthite
Phg	多硅白云母	Phengite
Phl	金云母	Phlogopite
Pie	红帘石	Piedmonlite
Pgt	易变辉石	Pigeonite
Pl	斜长石	Plagioclase
KMg-Sdg	钾镁砂川闪石	Potassic-Magnesiosadanagaite
K-Sdg	钾砂川闪石	Potassicsadanagaite
Prh	葡萄石	Prehnite
Pch	蠕绿泥石	Prochlorite
Pmp	绿纤石	Pumpellyite
Py	黄铁矿	Pyrite
Pcl	烧绿石	Pyrochlore
Prp	镁铝榴石	Pyrope
Prl	叶蜡石	Pyrophyllite
Prl-Tlc	叶蜡石-滑石	Pyrophyllite-Talc
Px	辉石	Pyroxene
Po	磁黄铁矿	Pyrrhotite
Qtz	石英	Quartz
Rds	菱锰矿	Rhodochrosite
Rdn	蔷薇辉石	Rhodonite
Rit	钠透闪石	Richterite
Rbk	钠闪石	Riebeckite
Rt	金红石	Rutile
Sdg	砂川闪石	Sadanagaite
She	次透辉石	Saheite
Sa	透长石	Sanidine
Spr	假蓝宝石	Sapphirine
Scp	方柱石	Scapolite
Srl	黑电气石	Schorl
Sek	铁堇青石	Sekaninaite
Sep	海泡石	Sepiolite
Ser	绢云母	Sericite
Srp	蛇纹石	Serpentine
Sd	菱铁矿	Siderite
Sil	夕线石	Sillimanite
Sme	蒙脱石（蒙皂石）	Smectite
Sdl	方钠石	Sodalite
Sps	锰铝榴石	Spessartine
Sp	闪锌矿	Sphalerite
Spn	榍石	Sphere
Spl	尖晶石	Spinel
Spd	锂辉石	Spodumene
St	十字石	Staurolite
Stb	辉沸石	Stilbite
Stp	黑硬绿泥石	Stilpnomelane
Stv	斯石英	Stishovite
Str	碳锶矿	Strontianite
Szb	硼镁石	Szaibelyite
Tlc	滑石	Talc
Tmt	绿闪石	Taramite
Ttn	榍石	Titanite
Toz	黄玉	Topaz
Tur	电气石	Tourmaline
Tr	透闪石	Tremolite
Trd	鳞石英	Tridymite
Tro	陨硫铁	Troilite
Ts	镁钙闪石	Tschermakite
Usp	钛铁尖晶石	Ulvoespinel
Urt	纤闪石	Uralite
Uvt	钙铬榴石	Uvarovite
Vrm	蛭石	Vermiculite
Ves	符山石	Vesuvianite
Viv	蓝铁矿	Vivianite
Wrk	斜钙沸石	Wairakite
Wmi	白色云母	White Mica
Win	蓝透闪石	Winchite
Wth	碳钡矿	Witherite
Wo	硅灰石	Wollastonite
Wus	方铁矿	Wüstite Wuestite
Xtm	磷钇矿	Xenotime
Zeo	沸石	Zeolite
Zwd	铁锂云母	Zinnwaldite
Zrn	锆英石	Zircon
Zo	黝帘石	Zoisite
